Txhash,Blockno,UnixTimestamp,DateTime,From,To,ContractAddress,Value_IN(ETH),Value_OUT(ETH),CurrentValue @ $3027.52/Eth,TxnFee(ETH),TxnFee(USD),Historical $Price/Eth,Status,ErrCode,Method
0xc54999f8d9eee2323df77ac39152ce67cec33f0cb0ec17641be014dd3391c123,12962075,1628126816,5/8/21 01:26,0xc352b534e8b987e036a93539fd6897f53488e56a,0x1f8d5dbbf41fee42e50ea0cd3a340458116e2c2f,,0,0.001,3.02752,0.00126,3.8146752,2829.23,,,Transfer
0x947cb9dd6ae499965a4727ea2a01cb98fb8430bce4fcf364e06cde0ca83e6ee1,12962100,1628127076,5/8/21 01:31,0xc352b534e8b987e036a93539fd6897f53488e56a,0xd4e4078ca3495de5b1d4db434bebc5a986197782,,0,0,0,0.00450954,13.65272254,2829.23,,,Transfer From
0xd4dfb39795474b45d4694632743dbd6ae446cea1ce7e1335db144e6d03ff478d,12998243,1628609096,10/8/21 15:24,0x1418ea311a188270de6182a209d2b2aa2496104c,0xc352b534e8b987e036a93539fd6897f53488e56a,,0.01477461,0,44.73042727,0.0012012,3.636657024,3141.67,,,Transfer
0xc82aa34310c310463eb9fe7835471f7317ac4b5008034a78c93b2a8a237be228,13045935,1629245424,18/8/21 00:10,0xc352b534e8b987e036a93539fd6897f53488e56a,,0x16f5a35647d6f03d5d3da7b35409d65ba03af3b2,0,0,0,0.087490108,264.8780526,,,,0x60806040
